verb,uri,controller,method,api_line,authorization,how,menu_id,menu,confidence
GET,"/overview",Mobility\MobilityOverviewController,index,1302,AUTH-ONLY,"no role check found",,"",0
GET,"/promotions",Mobility\MobilityPromotionController,index,1320,AUTH-ONLY,"no role check found",,"",0
POST,"/promotions",Mobility\MobilityPromotionController,store,1321,AUTH-ONLY,"no role check found",,"",0
PUT,"/promotions/{id}",Mobility\MobilityPromotionController,update,1322,AUTH-ONLY,"no role check found",,"",0
GET,"/successions",Mobility\MobilitySuccessionController,index,1324,AUTH-ONLY,"no role check found",,"",0
POST,"/successions",Mobility\MobilitySuccessionController,store,1325,AUTH-ONLY,"no role check found",,"",0
PUT,"/successions/{id}",Mobility\MobilitySuccessionController,update,1326,AUTH-ONLY,"no role check found",,"",0
DELETE,"/successions/{id}",Mobility\MobilitySuccessionController,destroy,1327,AUTH-ONLY,"no role check found",,"",0
GET,"/pools",Mobility\MobilityTalentPoolController,index,1329,AUTH-ONLY,"no role check found",,"",0
POST,"/pools",Mobility\MobilityTalentPoolController,store,1330,AUTH-ONLY,"no role check found",,"",0
GET,"/pools/{id}/members",Mobility\MobilityTalentPoolController,members,1331,AUTH-ONLY,"no role check found",,"",0
POST,"/pools/{id}/members",Mobility\MobilityTalentPoolController,addMember,1332,AUTH-ONLY,"no role check found",,"",0
DELETE,"/pools/{id}/members/{userId}",Mobility\MobilityTalentPoolController,removeMember,1333,AUTH-ONLY,"no role check found",,"",0
GET,"/transfers",Mobility\MobilityTransferController,index,1316,AUTH-ONLY,"no role check found",,"",0
POST,"/transfers",Mobility\MobilityTransferController,store,1317,AUTH-ONLY,"no role check found",,"",0
PUT,"/transfers/{id}",Mobility\MobilityTransferController,update,1318,AUTH-ONLY,"no role check found",,"",0
POST,"nango/google/check-connection",NangoController,checkConnection,1012,AUTH-ONLY,"no role check found",,"",0
POST,"nango/google/oauth-url",NangoController,getOauthUrl,1013,AUTH-ONLY,"no role check found",,"",0
POST,"/newsletter/send",NewsletterController,sendNewsletter,173,AUTH-ONLY,"token required, no role check",27,"Send SMS to User",1
GET,"/cases",Offboarding\OffboardingController,index,1345,AUTH-ONLY,"no role check found",,"",0
POST,"/cases",Offboarding\OffboardingController,store,1346,AUTH-ONLY,"no role check found",,"",0
GET,"/cases/{id}",Offboarding\OffboardingController,show,1347,AUTH-ONLY,"no role check found",,"",0
PUT,"/cases/{id}",Offboarding\OffboardingController,update,1348,AUTH-ONLY,"no role check found",,"",0
DELETE,"/cases/{id}",Offboarding\OffboardingController,destroy,1354,AUTH-ONLY,"no role check found",,"",0
POST,"/cases/{id}/clearance",Offboarding\OffboardingController,updateClearance,1350,AUTH-ONLY,"no role check found",,"",0
POST,"/cases/{id}/comments",Offboarding\OffboardingController,addComment,1352,AUTH-ONLY,"no role check found",,"",0
POST,"/cases/{id}/documents",Offboarding\OffboardingController,updateDocuments,1351,AUTH-ONLY,"no role check found",,"",0
POST,"/cases/{id}/exit-interview",Offboarding\OffboardingController,updateExitInterview,1353,AUTH-ONLY,"no role check found",,"",0
POST,"/cases/{id}/status",Offboarding\OffboardingController,updateStatus,1349,AUTH-ONLY,"no role check found",217,"Status Management",1
GET,"/filters",Offboarding\OffboardingController,filters,1344,AUTH-ONLY,"no role check found",,"",0
GET,"/overview",Offboarding\OffboardingController,overview,1343,AUTH-ONLY,"no role check found",,"",0
DELETE,"/onboarding/documents/{id}",Onboarding\OnboardingDocumentController,destroy,1280,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/journeys/{journeyId}/documents",Onboarding\OnboardingDocumentController,index,1277,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/journeys/{journeyId}/documents",Onboarding\OnboardingDocumentController,store,1278,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/journeys",Onboarding\OnboardingJourneyController,index,1248,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/journeys",Onboarding\OnboardingJourneyController,store,1249,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/journeys/from-offer/{offerId}",Onboarding\OnboardingJourneyController,storeFromOffer,1250,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/journeys/{id}",Onboarding\OnboardingJourneyController,show,1251,AUTH-ONLY,"no role check found",48,"Onboarding",1
PUT,"/onboarding/journeys/{id}",Onboarding\OnboardingJourneyController,update,1252,AUTH-ONLY,"no role check found",48,"Onboarding",1
DELETE,"/onboarding/journeys/{id}",Onboarding\OnboardingJourneyController,destroy,1253,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/journeys/{journeyId}/contacts",Onboarding\OnboardingJourneyController,contacts,1261,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/journeys/{journeyId}/stages",Onboarding\OnboardingJourneyController,stages,1256,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/journeys/{journeyId}/timeline",Onboarding\OnboardingJourneyController,timeline,1262,AUTH-ONLY,"no role check found",48,"Onboarding",1
PUT,"/onboarding/stages/{id}",Onboarding\OnboardingJourneyController,updateStage,1257,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/stages/{id}/complete",Onboarding\OnboardingJourneyController,completeStage,1258,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/journeys/{journeyId}/notes",Onboarding\OnboardingNoteController,index,1283,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/journeys/{journeyId}/notes",Onboarding\OnboardingNoteController,store,1284,AUTH-ONLY,"no role check found",48,"Onboarding",1
PUT,"/onboarding/notes/{id}",Onboarding\OnboardingNoteController,update,1285,AUTH-ONLY,"no role check found",48,"Onboarding",1
DELETE,"/onboarding/notes/{id}",Onboarding\OnboardingNoteController,destroy,1286,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/filters",Onboarding\OnboardingOverviewController,filters,1245,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/overview",Onboarding\OnboardingOverviewController,index,1244,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/probation",Onboarding\OnboardingProbationController,index,1289,AUTH-ONLY,"no role check found",48,"Onboarding",1
PUT,"/onboarding/probation/{journeyId}",Onboarding\OnboardingProbationController,update,1290,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/probation/{journeyId}/confirm",Onboarding\OnboardingProbationController,confirm,1291,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/probation/{journeyId}/extend",Onboarding\OnboardingProbationController,extend,1292,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/probation/{journeyId}/terminate",Onboarding\OnboardingProbationController,terminate,1293,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/tasks",Onboarding\OnboardingTaskController,index,1268,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/tasks",Onboarding\OnboardingTaskController,store,1269,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/tasks/bulk",Onboarding\OnboardingTaskController,bulk,1267,AUTH-ONLY,"no role check found",48,"Onboarding",1
PUT,"/onboarding/tasks/{id}",Onboarding\OnboardingTaskController,update,1270,AUTH-ONLY,"no role check found",48,"Onboarding",1
DELETE,"/onboarding/tasks/{id}",Onboarding\OnboardingTaskController,destroy,1272,AUTH-ONLY,"no role check found",48,"Onboarding",1
POST,"/onboarding/tasks/{id}/complete",Onboarding\OnboardingTaskController,complete,1271,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/onboarding/workstreams",Onboarding\OnboardingTaskController,workstreams,1266,AUTH-ONLY,"no role check found",48,"Onboarding",1
GET,"/organizations/{orgId}/graph",OrganizationGraphController,show,177,AUTH-ONLY,"token required, no role check",,"",0
GET,"/performance/activity",Performance\PerformanceActivityController,index,1115,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/activity/filters",Performance\PerformanceActivityController,filters,1114,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
DELETE,"/performance/attachments/{id}",Performance\PerformanceActivityController,destroyAttachment,1072,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
PUT,"/performance/notes/{id}",Performance\PerformanceActivityController,updateNote,1067,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
DELETE,"/performance/notes/{id}",Performance\PerformanceActivityController,destroyNote,1068,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/reviews/{reviewId}/attachments",Performance\PerformanceActivityController,attachments,1070,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
POST,"/performance/reviews/{reviewId}/attachments",Performance\PerformanceActivityController,storeAttachment,1071,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
GET,"/performance/reviews/{reviewId}/notes",Performance\PerformanceActivityController,notes,1065,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
POST,"/performance/reviews/{reviewId}/notes",Performance\PerformanceActivityController,storeNote,1066,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
GET,"/performance/appraisals",Performance\PerformanceAppraisalController,index,1082,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
POST,"/performance/appraisals",Performance\PerformanceAppraisalController,store,1083,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
POST,"/performance/appraisals/bulk",Performance\PerformanceAppraisalController,bulk,1081,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
PUT,"/performance/appraisals/{id}",Performance\PerformanceAppraisalController,update,1084,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
DELETE,"/performance/appraisals/{id}",Performance\PerformanceAppraisalController,destroy,1086,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
PUT,"/performance/appraisals/{id}/decision",Performance\PerformanceAppraisalController,decision,1085,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
GET,"/performance/bonus",Performance\PerformanceBonusController,index,1098,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
POST,"/performance/bonus",Performance\PerformanceBonusController,store,1099,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
POST,"/performance/bonus/bulk",Performance\PerformanceBonusController,bulk,1097,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
PUT,"/performance/bonus/{id}",Performance\PerformanceBonusController,update,1100,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
DELETE,"/performance/bonus/{id}",Performance\PerformanceBonusController,destroy,1102,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
PUT,"/performance/bonus/{id}/decision",Performance\PerformanceBonusController,decision,1101,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/calibration-sessions",Performance\PerformanceCalibrationController,index,1105,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
POST,"/performance/calibration-sessions",Performance\PerformanceCalibrationController,store,1106,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
PUT,"/performance/calibration-sessions/{id}",Performance\PerformanceCalibrationController,update,1110,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
DELETE,"/performance/calibration-sessions/{id}",Performance\PerformanceCalibrationController,destroy,1111,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
PUT,"/performance/calibration-sessions/{id}/calibrate",Performance\PerformanceCalibrationController,calibrate,1108,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/calibration-sessions/{id}/grid",Performance\PerformanceCalibrationController,grid,1107,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
POST,"/performance/calibration-sessions/{id}/lock",Performance\PerformanceCalibrationController,lock,1109,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/compensation",Performance\PerformanceCompensationController,index,1090,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
POST,"/performance/compensation",Performance\PerformanceCompensationController,store,1091,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
POST,"/performance/compensation/bulk",Performance\PerformanceCompensationController,bulk,1089,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
PUT,"/performance/compensation/{id}",Performance\PerformanceCompensationController,update,1092,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
DELETE,"/performance/compensation/{id}",Performance\PerformanceCompensationController,destroy,1094,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
PUT,"/performance/compensation/{id}/decision",Performance\PerformanceCompensationController,decision,1093,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/cycles",Performance\PerformanceCycleController,index,1045,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/cycles/{id}",Performance\PerformanceCycleController,show,1047,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/goals",Performance\PerformanceGoalController,index,1075,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
POST,"/performance/goals",Performance\PerformanceGoalController,store,1076,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
PUT,"/performance/goals/{id}",Performance\PerformanceGoalController,update,1077,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
DELETE,"/performance/goals/{id}",Performance\PerformanceGoalController,destroy,1078,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/filters",Performance\PerformanceOverviewController,filters,1040,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/overview",Performance\PerformanceOverviewController,index,1039,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/team-comparison",Performance\PerformanceOverviewController,teamComparison,1041,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/timeline",Performance\PerformanceOverviewController,timeline,1042,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/performance/reviews",Performance\PerformanceReviewController,index,1057,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
GET,"/performance/reviews/board",Performance\PerformanceReviewController,board,1055,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
GET,"/performance/reviews/{id}",Performance\PerformanceReviewController,show,1058,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
PUT,"/performance/reviews/{id}",Performance\PerformanceReviewController,update,1059,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
POST,"/performance/reviews/{id}/reminder",Performance\PerformanceReviewController,sendReminder,1061,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",2
GET,"/performance/saved-views",Performance\PerformanceSavedViewController,index,1118,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
POST,"/performance/saved-views",Performance\PerformanceSavedViewController,store,1119,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
PUT,"/performance/saved-views/{id}",Performance\PerformanceSavedViewController,update,1120,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
DELETE,"/performance/saved-views/{id}",Performance\PerformanceSavedViewController,destroy,1121,AUTH-ONLY,"no role check found",49,"Performance Reviews & Appraisals",1
GET,"/departments/distribution",Reports\DepartmentDistributionController,index,831,AUTH-ONLY,"token required, no role check",,"",0
GET,"/departments/summary",Reports\DepartmentDistributionController,getDepartmentSummary,832,AUTH-ONLY,"token required, no role check",,"",0
GET,"/departments/sizes",Reports\DepartmentSizeController,getDepartmentSizes,833,AUTH-ONLY,"token required, no role check",,"",0
GET,"/employees/lifecycle",Reports\EmployeeLifecycleController,getEmployeeLifecycle,834,AUTH-ONLY,"token required, no role check",17,"Search Employees by Skills",1
GET,"/hiring-analytics",Reports\HiringAnalyticsController,getHiringTrends,830,AUTH-ONLY,"token required, no role check",184,"Employee Directory Analytics Report",1
GET,"/kpi",Reports\KpiController,index,829,AUTH-ONLY,"token required, no role check",,"",0
GET,"/organization/growth",Reports\OrganizationGrowthController,index,835,AUTH-ONLY,"token required, no role check",161,"Organization Dashboard",1
POST,"/talent-acquisition/dropoff",TalentAcquisition\CandidateDropoffController,getDropoff,205,AUTH-ONLY,"no role check found",3,"Talent Management",1
POST,"/talent-acquisition/funnel",TalentAcquisition\CandidateDropoffController,getFunnelData,206,AUTH-ONLY,"no role check found",3,"Talent Management",1
POST,"/talent-acquisition/requisitions",TalentAcquisition\CandidateDropoffController,getRequisitions,207,AUTH-ONLY,"no role check found",3,"Talent Management",1
POST,"/talent-acquisition/kpis",TalentAcquisition\TalentAcquisitionController,getKpis,204,AUTH-ONLY,"token required, no role check",3,"Talent Management",1
GET,"/talent/admin/workflows",Talent\AdminWorkflowController,index,1219,AUTH-ONLY,"no role check found",14,"Admin and Configuration Module",1
GET,"/talent/offboarding/exit-interviews",Talent\ExitInterviewController,index,1213,AUTH-ONLY,"no role check found",171,"Offboarding",2
POST,"/talent/offboarding/exit-interviews",Talent\ExitInterviewController,store,1214,AUTH-ONLY,"no role check found",171,"Offboarding",2
PUT,"/talent/offboarding/exit-interviews/{id}",Talent\ExitInterviewController,update,1215,AUTH-ONLY,"no role check found",171,"Offboarding",2
DELETE,"/talent/offboarding/exit-interviews/{id}",Talent\ExitInterviewController,destroy,1216,AUTH-ONLY,"no role check found",171,"Offboarding",2
GET,"/talent/mobility/internal-jobs",Talent\InternalJobController,index,1176,AUTH-ONLY,"no role check found",52,"Mobility & Succession",2
GET,"/talent/mobility/internal-jobs/{id}",Talent\InternalJobController,show,1178,AUTH-ONLY,"no role check found",52,"Mobility & Succession",2
GET,"/talent/mobility/requests",Talent\MobilityRequestController,index,1182,AUTH-ONLY,"no role check found",52,"Mobility & Succession",2
POST,"/talent/mobility/requests",Talent\MobilityRequestController,store,1183,AUTH-ONLY,"no role check found",52,"Mobility & Succession",2
GET,"/talent/mobility/requests/{id}",Talent\MobilityRequestController,show,1184,AUTH-ONLY,"no role check found",52,"Mobility & Succession",2
PUT,"/talent/mobility/requests/{id}",Talent\MobilityRequestController,update,1185,AUTH-ONLY,"no role check found",52,"Mobility & Succession",2
DELETE,"/talent/mobility/requests/{id}",Talent\MobilityRequestController,destroy,1187,AUTH-ONLY,"no role check found",52,"Mobility & Succession",2
GET,"/talent/offboarding/cases",Talent\OffboardingCaseController,index,1200,AUTH-ONLY,"no role check found",171,"Offboarding",2
POST,"/talent/offboarding/cases",Talent\OffboardingCaseController,store,1201,AUTH-ONLY,"no role check found",171,"Offboarding",2
GET,"/talent/offboarding/cases/{id}",Talent\OffboardingCaseController,show,1202,AUTH-ONLY,"no role check found",171,"Offboarding",2
PUT,"/talent/offboarding/cases/{id}",Talent\OffboardingCaseController,update,1203,AUTH-ONLY,"no role check found",171,"Offboarding",2
DELETE,"/talent/offboarding/cases/{id}",Talent\OffboardingCaseController,destroy,1205,AUTH-ONLY,"no role check found",171,"Offboarding",2
POST,"/talent/offboarding/cases/{id}/advance",Talent\OffboardingCaseController,advance,1204,AUTH-ONLY,"no role check found",171,"Offboarding",2
GET,"/talent/offboarding/clearances",Talent\OffboardingClearanceController,index,1207,AUTH-ONLY,"no role check found",171,"Offboarding",2
POST,"/talent/offboarding/clearances",Talent\OffboardingClearanceController,store,1208,AUTH-ONLY,"no role check found",171,"Offboarding",2
PUT,"/talent/offboarding/clearances/{id}",Talent\OffboardingClearanceController,update,1209,AUTH-ONLY,"no role check found",171,"Offboarding",2
DELETE,"/talent/offboarding/clearances/{id}",Talent\OffboardingClearanceController,destroy,1211,AUTH-ONLY,"no role check found",171,"Offboarding",2
POST,"/talent/offboarding/clearances/{id}/clear",Talent\OffboardingClearanceController,clear,1210,AUTH-ONLY,"no role check found",171,"Offboarding",2
GET,"/talent/onboarding/documents",Talent\OnboardingDocumentController,index,1170,AUTH-ONLY,"no role check found",48,"Onboarding",2
POST,"/talent/onboarding/documents",Talent\OnboardingDocumentController,store,1171,AUTH-ONLY,"no role check found",48,"Onboarding",2
PUT,"/talent/onboarding/documents/{id}",Talent\OnboardingDocumentController,update,1172,AUTH-ONLY,"no role check found",48,"Onboarding",2
DELETE,"/talent/onboarding/documents/{id}",Talent\OnboardingDocumentController,destroy,1173,AUTH-ONLY,"no role check found",48,"Onboarding",2
GET,"/talent/onboarding/journeys",Talent\OnboardingJourneyController,index,1157,AUTH-ONLY,"no role check found",48,"Onboarding",2
POST,"/talent/onboarding/journeys",Talent\OnboardingJourneyController,store,1158,AUTH-ONLY,"no role check found",48,"Onboarding",2
GET,"/talent/onboarding/journeys/{id}",Talent\OnboardingJourneyController,show,1159,AUTH-ONLY,"no role check found",48,"Onboarding",2
PUT,"/talent/onboarding/journeys/{id}",Talent\OnboardingJourneyController,update,1160,AUTH-ONLY,"no role check found",48,"Onboarding",2
DELETE,"/talent/onboarding/journeys/{id}",Talent\OnboardingJourneyController,destroy,1162,AUTH-ONLY,"no role check found",48,"Onboarding",2
POST,"/talent/onboarding/journeys/{id}/complete",Talent\OnboardingJourneyController,complete,1161,AUTH-ONLY,"no role check found",48,"Onboarding",2
GET,"/talent/onboarding/tasks",Talent\OnboardingTaskController,index,1164,AUTH-ONLY,"no role check found",48,"Onboarding",2
POST,"/talent/onboarding/tasks",Talent\OnboardingTaskController,store,1165,AUTH-ONLY,"no role check found",48,"Onboarding",2
PUT,"/talent/onboarding/tasks/{id}",Talent\OnboardingTaskController,update,1166,AUTH-ONLY,"no role check found",48,"Onboarding",2
DELETE,"/talent/onboarding/tasks/{id}",Talent\OnboardingTaskController,destroy,1168,AUTH-ONLY,"no role check found",48,"Onboarding",2
POST,"/talent/onboarding/tasks/{id}/complete",Talent\OnboardingTaskController,complete,1167,AUTH-ONLY,"no role check found",48,"Onboarding",2
GET,"/talent/succession/plans",Talent\SuccessionPlanController,index,1190,AUTH-ONLY,"no role check found",52,"Mobility & Succession",2
GET,"/talent/succession/plans/{id}",Talent\SuccessionPlanController,show,1192,AUTH-ONLY,"no role check found",52,"Mobility & Succession",2
GET,"/workspace/{id}/activity",TaskManagement\ActivityController,index,904,AUTH-ONLY,"token required, no role check",,"",0
POST,"/deadline-extension",TaskManagement\DeadlineExtensionController,store,1009,AUTH-ONLY,"no role check found",,"",0
GET,"/deadline-extensions",TaskManagement\DeadlineExtensionController,index,928,AUTH-ONLY,"token required, no role check",,"",0
POST,"/deadline-extensions",TaskManagement\DeadlineExtensionController,store,929,AUTH-ONLY,"token required, no role check",,"",0
GET,"/dependencies",TaskManagement\DependencyController,index,932,AUTH-ONLY,"token required, no role check",213,"Dependencies & Workstreams",1
GET,"/search",TaskManagement\GlobalSearchController,index,890,AUTH-ONLY,"token required, no role check",17,"Search Employees by Skills",1
GET,"/my-tasks",TaskManagement\MyTasksController,index,939,AUTH-ONLY,"token required, no role check",211,"My Tasks",1
GET,"/my-tasks/{id}",TaskManagement\MyTasksController,show,940,AUTH-ONLY,"token required, no role check",211,"My Tasks",1
GET,"/notifications",TaskManagement\NotificationController,index,886,AUTH-ONLY,"token required, no role check",,"",0
GET,"/projects",TaskManagement\ProjectController,index,943,AUTH-ONLY,"token required, no role check",212,"Projects & Workstreams",1
GET,"/projects/options",TaskManagement\ProjectController,options,942,AUTH-ONLY,"token required, no role check",212,"Projects & Workstreams",1
GET,"/projects/{id}",TaskManagement\ProjectController,show,945,AUTH-ONLY,"token required, no role check",212,"Projects & Workstreams",1
GET,"/reports/delays",TaskManagement\ReportController,delays,895,AUTH-ONLY,"token required, no role check",101,"Attendance Reports",1
GET,"/reports/productivity",TaskManagement\ReportController,productivity,894,AUTH-ONLY,"token required, no role check",196,"Human Productivity & Operational Excellence",2
GET,"/integrations",TaskManagement\SessionController,integrations,877,AUTH-ONLY,"token required, no role check",220,"Integration",1
GET,"/workspace/{id}/attachments",TaskManagement\TaskAttachmentVersionController,index,921,AUTH-ONLY,"token required, no role check",,"",0
GET,"/workspace/{id}/attachments/{version}",TaskManagement\TaskAttachmentVersionController,download,923,AUTH-ONLY,"token required, no role check",,"",0
GET,"/tasks",TaskManagement\TaskListController,index,889,AUTH-ONLY,"token required, no role check",211,"My Tasks",1
GET,"/priorities",TaskManagement\TaskOptionController,priorities,873,AUTH-ONLY,"token required, no role check",,"",0
GET,"/statuses",TaskManagement\TaskOptionController,statuses,869,AUTH-ONLY,"token required, no role check",,"",0
GET,"/workspace/{id}/recurrence",TaskManagement\TaskRecurrenceController,show,916,AUTH-ONLY,"token required, no role check",,"",0
GET,"/workspace/{id}/schedule",TaskManagement\TaskScheduleController,show,919,AUTH-ONLY,"token required, no role check",,"",0
GET,"/workspace/{id}/subtasks",TaskManagement\TaskSubtaskController,index,912,AUTH-ONLY,"token required, no role check",,"",0
GET,"/templates",TaskManagement\TaskTemplateController,index,891,AUTH-ONLY,"token required, no role check",,"",0
GET,"/workspace/{id}/time-entries",TaskManagement\TaskTimeTrackingController,index,909,AUTH-ONLY,"token required, no role check",,"",0
GET,"/workspace",TaskManagement\WorkspaceController,index,901,AUTH-ONLY,"token required, no role check",,"",0
GET,"/workspace/workload",TaskManagement\WorkspaceController,workload,902,AUTH-ONLY,"token required, no role check",,"",0
GET,"/workspace/{id}",TaskManagement\WorkspaceController,show,903,AUTH-ONLY,"token required, no role check",,"",0
GET,"/ai-generated-assessment/assessment/index",ai_generated_assessment\generateAssessmentController,index,183,AUTH-ONLY,"token required, no role check",86,"Assessment List",1
POST,"/ai-generated-assessment/assessment/store",ai_generated_assessment\generateAssessmentController,store,182,AUTH-ONLY,"token required, no role check",86,"Assessment List",1
GET,"/ai-generated-assessment/question/index",ai_generated_assessment\generateQuestionController,index,180,AUTH-ONLY,"no role check found",86,"Assessment List",1
POST,"/ai-generated-assessment/question/store",ai_generated_assessment\generateQuestionController,store,179,AUTH-ONLY,"no role check found",86,"Assessment List",1
GET,"/lmsAssignment",assignment\assignmentController,index,624,AUTH-ONLY,"no role check found",,"",0
POST,"/lmsAssignment",assignment\assignmentController,store,625,AUTH-ONLY,"no role check found",,"",0
POST,"/lmsAssignment/bulkReview",assignment\assignmentController,bulkReview,623,AUTH-ONLY,"no role check found",,"",0
POST,"/lmsAssignment/bulkUpdateStatus",assignment\assignmentController,bulkUpdateStatus,616,AUTH-ONLY,"no role check found",,"",0
GET,"/lmsAssignment/enrollments",assignment\assignmentController,enrollments,620,AUTH-ONLY,"no role check found",,"",0
POST,"/lmsAssignment/import",assignment\assignmentController,import,618,AUTH-ONLY,"no role check found",,"",0
GET,"/lmsAssignment/learners",assignment\assignmentController,learners,619,AUTH-ONLY,"no role check found",,"",0
POST,"/lmsAssignment/request",assignment\assignmentController,requestEnrollment,621,AUTH-ONLY,"no role check found",,"",0
POST,"/lmsAssignment/review/{id}",assignment\assignmentController,review,622,AUTH-ONLY,"no role check found",,"",0
GET,"/lmsAssignment/stats",assignment\assignmentController,stats,615,AUTH-ONLY,"no role check found",,"",0
POST,"/lmsAssignment/updateStatus/{id}",assignment\assignmentController,updateStatus,617,AUTH-ONLY,"no role check found",,"",0
GET,"/index",build_with_AI\buildwithAIController,index,767,AUTH-ONLY,"no role check found",,"",0
POST,"/save-generated-course",build_with_AI\buildwithAIController,store,766,AUTH-ONLY,"no role check found",84,"Course Builder",1
GET,"/candidate",candidate\candidateController,getCandidate,810,AUTH-ONLY,"no role check found",,"",0
POST,"/evaluation",feedback\feedbackController,storeFeedback,813,AUTH-ONLY,"no role check found",,"",0
GET,"/feedback",feedback\feedbackController,getAllFeedback,811,AUTH-ONLY,"no role check found",,"",0
